dia,infectados
0,3
1,6
2,9
3,13
4,18
5,23
6,29
7,36
8,47
9,53
10,58
11,64
12,83
13,92
14,102
15,117
16,138
17,154
18,173
19,184
20,204
21,225
22,239
23,265
24,283
25,292
26,318
27,336
28,358
29,384
30,409
31,422
32,442
33,440
34,464
35,468
36,501
37,521
38,534
39,545
40,565
41,576
42,585
43,604
44,618
45,631
46,674
47,683
48,706
49,715
50,737
51,756
52,782
53,804
54,826
55,832
56,831
57,831
58,834
59,843
60,832
61,840
62,833
63,828
64,819
65,807
66,802
67,791
68,777
69,777
70,759
71,747
72,724
73,706
74,692
75,667
76,650
77,639
78,608
79,594
80,578
81,552
82,524
83,489
84,464
85,443
86,425
87,413
88,383
89,359
90,338
91,314
92,299
93,287
94,274
95,261
96,248
97,233
98,219
99,205
100,193
101,176
102,171
103,164
104,153
105,144
106,139
107,135
108,127
109,119
110,111
111,101
112,93
113,86
114,82
115,78
116,77
117,74
118,67
119,64
120,60
121,60
122,54
123,52
124,51
125,48
126,44
127,41
128,39
129,37
130,32
131,31
132,29
133,24
134,22
135,22
136,21
137,20
138,19
139,19
140,18
141,17
142,16
143,14
144,13
145,13
146,12
147,12
148,12
149,11
150,9
151,8
152,8
153,8
154,7
155,7
156,6
157,5
158,5
159,5
160,5
161,5
162,4
163,4
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,2
190,2
191,2
192,2
193,2
194,2
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
